P1,P2,F1,F2
0.19,0.15,0.18,0.14
0.17,0.14,0.18,0.15
0.18,0.14,0.19,0.14
0.19,0.14,0.18,0.16
0.18,0.15,0.18,0.15
0.18,0.14,0.19,0.14
0.19,0.14,0.19,0.15
0.21,0.14,0.18,0.15
0.2,0.14,0.2,0.14
0.18,0.15,0.17,0.17
0.16,0.14,0.2,0.16
0.2,0.14,0.19,0.15
0.18,0.14,0.19,0.15
0.19,,0.17,0.14
0.18,,0.19,0.14
0.19,,0.21,0.15
0.21,,0.2,0.14
0.19,,0.19,0.16
0.19,,0.2,0.15
0.19,,0.18,0.15
0.19,,,0.17
0.18,,,0.15
0.2,,,0.15
0.2,,,0.15
0.18,,,0.15
0.19,,,0.18
0.18,,,0.19
0.19,,,0.21
,,,0.17
,,,0.18
,,,0.18
,,,0.19
,,,0.19
,,,0.18
,,,0.19
,,,0.19
,,,0.19
,,,0.19
,,,0.17
,,,0.18
,,,0.18
,,,0.17
,,,0.17
,,,0.2
,,,0.17
,,,0.16
,,,0.17
,,,0.19
,,,0.17
,,,0.18
,,,0.17
,,,0.18
,,,0.19
,,,0.16
,,,0.17
,,,0.2
,,,0.2
,,,0.18
,,,0.18
,,,0.19
,,,0.18
,,,0.17
,,,0.2
,,,0.19
,,,0.18
,,,0.2
,,,0.17
,,,0.19
,,,0.18
,,,0.18
,,,0.19
,,,0.19
,,,0.15
,,,0.2
,,,0.17
,,,0.19
,,,0.2
,,,0.16
,,,0.18
,,,0.2
,,,0.17
,,,0.18
,,,0.19
,,,0.17
,,,0.21
,,,0.19
,,,0.17
,,,0.17
,,,0.19
,,,0.16
,,,0.2
,,,0.19
,,,0.19
,,,0.18
,,,0.18
