P1,P2,F1,B12,B22,F23
39.12,39.5,37.64,41.39,40.98,38.44
38.93,38.46,41.18,36.61,38.28,40.19
37.55,37.35,38.79,38.78,39.47,40.9
36.13,39.39,39.47,40.69,39.2,39.51
39.32,38.71,37.91,38.96,39.29,40.49
39.12,38.63,40.08,38.99,39.36,41.16
40.43,37.29,38.32,38.61,37.91,37.71
39.12,38.01,39.33,40.08,38.8,41.26
40.6,37.92,39.97,36.96,38.14,39.94
39.37,36.94,40.96,41.03,39.18,37.3
37.87,39.18,,36.54,40.06,37.15
37.54,39.45,,39.57,38.29,37.89
41.03,40.7,,38.06,39.98,39.72
39.04,38.28,,40.06,42.8,40.21
39.54,38.76,,39.22,39.99,37.97
39.46,37.36,,38.47,37.83,39.7
38.84,38.25,,38.11,39.63,39.38
38.12,37.61,,39.75,38.52,38.82
38.17,36.65,,38.78,40.97,37.99
40.21,36.95,,36.65,38.29,36.69
,,,36.17,37.53,38.89
,,,38.32,39.89,38.35
,,,37.4,36.64,40.43
,,,41.14,36.84,39.65
,,,37.65,38.19,39.95
,,,36.34,38.81,38.45
,,,39.4,35.85,36.36
,,,39.97,40.14,37.53
,,,39.72,38.17,38.74
,,,38.48,36.98,35.4
,,,38.79,41.88,38.08
,,,37.08,38.86,36.6
,,,40.91,38.31,41.66
,,,39.75,38.11,39.42
,,,37.76,41.38,36.99
,,,38.9,40.91,36.99
,,,41.72,38.4,39.52
,,,40.9,39.65,37.35
,,,38.67,38.31,38.56
,,,37.55,38.48,41.1
,,,35.33,40.63,39.33
,,,41.04,41.26,39.04
,,,39.22,39.85,37.24
,,,39.33,39.5,38.86
,,,38.59,38.7,38.59
,,,37,39.06,40.56
,,,38.61,37.82,37.64
,,,35.66,38.2,35.83
,,,39.2,40.39,39.6
,,,37.38,39.28,38.74
,,,39.72,36.57,39.29
,,,39.51,38.94,40.31
,,,38.31,37.57,40.39
,,,41.38,39.89,38.57
,,,41.18,40.24,40.31
,,,39.26,39.55,39.57
,,,37.26,40.29,38.26
,,,40.34,40.07,38.58
,,,36.15,40.54,36.81
,,,39.39,40.99,40.25
,,,39.34,39.8,37.36
,,,40.6,40.15,40.26
,,,40.36,41.48,36.88
,,,41.35,40.92,39.83
,,,37.82,40.67,42.8
,,,39.79,38.54,38.15
,,,37.7,39.25,40.17
,,,39.43,42.5,38.36
,,,38.45,38.78,38.89
,,,41.28,41.29,38.05
,,,40.47,36.17,39.72
,,,39.7,37.89,38.99
,,,37.4,35.79,39.61
,,,38.8,39.57,41.67
,,,39.1,39.07,41.83
,,,40.54,39.2,40.6
,,,39.6,41.15,40.36
,,,40.91,37.76,38.9
,,,38.85,41.04,41.37
,,,39.45,38.04,39.17
,,,40.76,39.68,37.67
,,,40,39.54,39.14
,,,37.29,42.51,37.82
,,,39.21,36.27,39.6
,,,38.97,38.72,40.74
,,,39.11,39.02,38.37
,,,40.39,39.75,39.37
,,,38.7,38.49,41.04
,,,41.15,40.01,38.82
,,,39.54,40.68,39.79
,,,39.68,40.57,40.99
,,,39.51,38.58,39.12
,,,38.73,37.92,37.69
,,,38.47,38.78,40.96
,,,39.9,36.83,40.25
,,,37.48,39.35,39.54
,,,38.77,37.93,38.89
,,,41.1,39.82,38.94
,,,39.33,40.33,38.23
,,,39.17,41.33,42
,,,37.57,39.29,38.03
,,,39.72,39.97,38.85
,,,39.87,39.93,40.68
,,,37.81,37.51,39.91
,,,38.79,40.75,40.49
,,,40.22,40.54,37.41
,,,39.41,37.03,38.32
,,,37.33,39.83,40.42
,,,35.97,38.16,38.23
,,,37.36,36.6,40.71
,,,38.86,40.64,39.43
,,,37.56,38.43,39.61
,,,39.4,37.57,41.26
,,,39.12,37.9,39.11
,,,38.9,37.76,37.72
,,,40.04,38.1,36.12
,,,38.74,40.6,38.9
,,,38.54,38.62,
,,,39.31,38.93,
,,,42.32,,
